Amostra,Tempo_s,x_referencia_rpm,e_dev_rpm,y_instrumento_rpm
62,0.061,4000.0,-1.6913,3998.3087
63,0.062,4000.0,-10.1629,3989.8371
64,0.063,4000.0,-10.9899,3989.0101
65,0.064,4000.0,7.4936,4007.4936
66,0.065,4000.0,12.4966,4012.4966
67,0.066,4000.0,-0.6455,3999.3545
68,0.067,4000.0,9.2511,4009.2511
69,0.068,4000.0,3.3447,4003.3447
70,0.069,4000.0,-5.919,3994.081
71,0.07,4000.0,3.3425,4003.3425
72,0.071,4000.0,14.1694,4014.1694
73,0.072,4000.0,-0.3126,3999.6874
74,0.073,4000.0,14.4142,4014.4142
75,0.074,4000.0,-24.0886,3975.9114
76,0.075,4000.0,7.5798,4007.5798
77,0.076,4000.0,0.818,4000.818
78,0.077,4000.0,-2.7342,3997.2658
79,0.078,4000.0,0.8614,4000.8614
80,0.079,4000.0,-18.2716,3981.7284
81,0.08,4000.0,-2.0042,3997.9958
82,0.081,4000.0,3.3031,4003.3031
83,0.082,4000.0,13.616,4013.616
84,0.083,4000.0,-4.7518,3995.2482
85,0.084,4000.0,-7.4223,3992.5777
86,0.085,4000.0,-4.5999,3995.4001
87,0.086,4000.0,8.4402,4008.4402
88,0.087,4000.0,3.0421,4003.0421
89,0.088,4000.0,-4.8575,3995.1425
90,0.089,4000.0,4.7399,4004.7399
91,0.09,4000.0,0.9103,4000.9103
92,0.091,4000.0,8.9301,4008.9301
93,0.092,4000.0,-6.4429,3993.5571
94,0.093,4000.0,-2.9979,3997.0021
95,0.094,4000.0,-3.5909,3996.4091
96,0.095,4000.0,-13.4495,3986.5505
97,0.096,4000.0,2.7418,4002.7418
98,0.097,4000.0,2.4192,4002.4192
99,0.098,4000.0,0.0641,4000.0641
100,0.099,4000.0,-2.1415,3997.8585
101,0.1,4000.0,-13.0065,3986.9935
102,0.101,4000.0,-3.8535,3996.1465
103,0.102,4000.0,-3.1364,3996.8636
104,0.103,4000.0,-7.3651,3992.6349
105,0.104,4000.0,-1.467,3998.533
106,0.105,4000.0,3.735,4003.735
107,0.106,4000.0,17.3729,4017.3729
108,0.107,4000.0,1.6235,4001.6235
109,0.108,4000.0,2.3869,4002.3869
110,0.109,4000.0,-0.6679,3999.3321
111,0.11,4000.0,-17.6386,3982.3614
112,0.111,4000.0,-0.2269,3999.7731
113,0.112,4000.0,0.5713,4000.5713
114,0.113,4000.0,22.6827,4022.6827
115,0.114,4000.0,-1.7529,3998.2471
116,0.115,4000.0,2.7918,4002.7918
117,0.116,4000.0,-0.3023,3999.6977
118,0.117,4000.0,-10.7365,3989.2635
119,0.118,4000.0,10.5328,4010.5328
120,0.119,4000.0,6.936,4006.936
121,0.12,4000.0,7.2958,4007.2958
122,0.121,4000.0,-8.3507,3991.6493
123,0.122,4000.0,12.9249,4012.9249
124,0.123,4000.0,-12.8821,3987.1179
125,0.124,4000.0,5.4171,4005.4171
126,0.125,4000.0,20.1726,4020.1726
127,0.126,4000.0,-9.0974,3990.9026
128,0.127,4000.0,-5.1937,3994.8063
129,0.128,4000.0,0.934,4000.934
130,0.129,4000.0,-4.6157,3995.3843
131,0.13,4000.0,-14.2514,3985.7486
132,0.131,4000.0,0.648,4000.648
133,0.132,4000.0,-9.7577,3990.2423
134,0.133,4000.0,4.3749,4004.3749
135,0.134,4000.0,-8.443,3991.557
136,0.135,4000.0,14.2789,4014.2789
137,0.136,4000.0,-7.1901,3992.8099
138,0.137,4000.0,-2.9464,3997.0536
139,0.138,4000.0,7.5027,4007.5027
140,0.139,4000.0,-11.3088,3988.6912
141,0.14,4000.0,2.1101,4002.1101
142,0.141,4000.0,12.0448,4012.0448
143,0.142,4000.0,-14.7742,3985.2258
144,0.143,4000.0,1.716,4001.716
145,0.144,4000.0,2.4084,4002.4084
146,0.145,4000.0,7.211,4007.211
147,0.146,4000.0,-11.3648,3988.6352
148,0.147,4000.0,-12.1331,3987.8669
149,0.148,4000.0,4.8197,4004.8197
150,0.149,4000.0,2.7498,4002.7498
151,0.15,4000.0,2.322,4002.322
152,0.151,4000.0,3.2049,4003.2049
153,0.152,4000.0,-6.2402,3993.7598
154,0.153,4000.0,2.1542,4002.1542
155,0.154,4000.0,2.7138,4002.7138
156,0.155,4000.0,-6.556,3993.444
157,0.156,4000.0,17.1851,4017.1851
158,0.157,4000.0,4.3771,4004.3771
159,0.158,4000.0,-10.9447,3989.0553
160,0.159,4000.0,6.0584,4006.0584
161,0.16,4000.0,-8.9515,3991.0485
162,0.161,4000.0,7.2595,4007.2595
163,0.162,4000.0,10.6779,4010.6779
164,0.163,4000.0,-7.5345,3992.4655
165,0.164,4000.0,8.8816,4008.8816
166,0.165,4000.0,3.8153,4003.8153
167,0.166,4000.0,7.5813,4007.5813
168,0.167,4000.0,17.4705,4017.4705
169,0.168,4000.0,-2.2409,3997.7591
170,0.169,4000.0,-6.9184,3993.0816
171,0.17,4000.0,-8.1678,3991.8322
172,0.171,4000.0,-7.4896,3992.5104
173,0.172,4000.0,-0.6924,3999.3076
174,0.173,4000.0,3.1562,4003.1562
175,0.174,4000.0,2.5631,4002.5631
176,0.175,4000.0,7.6284,4007.6284
177,0.176,4000.0,0.1367,4000.1367
178,0.177,4000.0,13.3918,4013.3918
179,0.178,4000.0,-2.4182,3997.5818
180,0.179,4000.0,25.0468,4025.0468
181,0.18,4000.0,5.7742,4005.7742
182,0.181,4000.0,-7.8701,3992.1299
183,0.182,4000.0,-9.8368,3990.1632
184,0.183,4000.0,4.4566,4004.4566
185,0.184,4000.0,-2.0391,3997.9609
186,0.185,4000.0,6.587,4006.587
187,0.186,4000.0,4.3716,4004.3716
188,0.187,4000.0,-0.6531,3999.3469
189,0.188,4000.0,-7.7747,3992.2253
190,0.189,4000.0,-13.9218,3986.0782
191,0.19,4000.0,-4.0915,3995.9085
192,0.191,4000.0,7.8973,4007.8973
193,0.192,4000.0,1.9871,4001.9871
194,0.193,4000.0,-11.4456,3988.5544
195,0.194,4000.0,1.6106,4001.6106
196,0.195,4000.0,3.5626,4003.5626
197,0.196,4000.0,-8.1158,3991.8842
198,0.197,4000.0,1.4316,4001.4316
199,0.198,4000.0,0.5527,4000.5527
200,0.199,4000.0,-10.5,3989.5
201,0.2,4000.0,3.3093,4003.3093
202,0.201,4000.0,5.1772,4005.1772
203,0.202,4000.0,9.9828,4009.9828
204,0.203,4000.0,9.7137,4009.7137
205,0.204,4000.0,-12.6596,3987.3404
206,0.205,4000.0,-8.6123,3991.3877
207,0.206,4000.0,4.7562,4004.7562
208,0.207,4000.0,4.7447,4004.7447
209,0.208,4000.0,4.7563,4004.7563
210,0.209,4000.0,35.4681,4035.4681
211,0.21,4000.0,5.2701,4005.2701
212,0.211,4000.0,10.466,4010.466
213,0.212,4000.0,8.7954,4008.7954
214,0.213,4000.0,6.0109,4006.0109
215,0.214,4000.0,-2.8839,3997.1161
216,0.215,4000.0,7.0008,4007.0008
217,0.216,4000.0,-7.0941,3992.9059
218,0.217,4000.0,-2.162,3997.838
219,0.218,4000.0,-4.449,3995.551
220,0.219,4000.0,0.7704,4000.7704
221,0.22,4000.0,21.3155,4021.3155
222,0.221,4000.0,-17.1646,3982.8354
223,0.222,4000.0,6.3317,4006.3317
224,0.223,4000.0,-14.8224,3985.1776
225,0.224,4000.0,-4.3254,3995.6746
226,0.225,4000.0,10.0371,4010.0371
227,0.226,4000.0,0.6086,4000.6086
228,0.227,4000.0,-9.8998,3990.1002
229,0.228,4000.0,-6.5648,3993.4352
230,0.229,4000.0,6.2704,4006.2704
231,0.23,4000.0,-6.7034,3993.2966
232,0.231,4000.0,2.0088,4002.0088
233,0.232,4000.0,0.4364,4000.4364
234,0.233,4000.0,-5.9786,3994.0214
235,0.234,4000.0,19.7447,4019.7447
236,0.235,4000.0,5.8501,4005.8501
237,0.236,4000.0,-18.6173,3981.3827
238,0.237,4000.0,1.7327,4001.7327
239,0.238,4000.0,-6.0724,3993.9276
240,0.239,4000.0,7.8608,4007.8608
241,0.24,4000.0,-7.2753,3992.7247
242,0.241,4000.0,-1.0387,3998.9613
243,0.242,4000.0,4.6637,4004.6637
244,0.243,4000.0,7.9834,4007.9834
245,0.244,4000.0,-11.0275,3988.9725
246,0.245,4000.0,-3.0608,3996.9392
247,0.246,4000.0,-4.3531,3995.6469
248,0.247,4000.0,-5.9946,3994.0054
249,0.248,4000.0,16.262,4016.262
250,0.249,4000.0,3.7435,4003.7435
251,0.25,4000.0,-11.585,3988.415
252,0.251,4000.0,8.4628,4008.4628
253,0.252,4000.0,19.5442,4019.5442
254,0.253,4000.0,9.5173,4009.5173
255,0.254,4000.0,-13.9635,3986.0365
256,0.255,4000.0,-4.4386,3995.5614
257,0.256,4000.0,11.6746,4011.6746
258,0.257,4000.0,-6.4946,3993.5054
259,0.258,4000.0,4.1009,4004.1009
260,0.259,4000.0,7.1449,4007.1449
261,0.26,4000.0,-8.5121,3991.4879
262,0.261,4000.0,-0.5306,3999.4694
263,0.262,4000.0,-29.8075,3970.1925
264,0.263,4000.0,-9.4089,3990.5911
265,0.264,4000.0,-2.3069,3997.6931
266,0.265,4000.0,-11.4644,3988.5356
267,0.266,4000.0,15.0378,4015.0378
268,0.267,4000.0,-13.1424,3986.8576
269,0.268,4000.0,-4.032,3995.968
270,0.269,4000.0,1.2201,4001.2201
271,0.27,4000.0,13.279,4013.279
272,0.271,4000.0,-13.1951,3986.8049
273,0.272,4000.0,10.72,4010.72
274,0.273,4000.0,0.1112,4000.1112
275,0.274,4000.0,-9.0143,3990.9857
276,0.275,4000.0,4.2691,4004.2691
277,0.276,4000.0,1.8487,4001.8487
278,0.277,4000.0,-5.5058,3994.4942
279,0.278,4000.0,0.6594,4000.6594
280,0.279,4000.0,-3.5284,3996.4716
281,0.28,4000.0,1.0616,4001.0616
282,0.281,4000.0,6.1097,4006.1097
283,0.282,4000.0,14.6109,4014.6109
284,0.283,4000.0,-11.3727,3988.6273
285,0.284,4000.0,19.6443,4019.6443
286,0.285,4000.0,-17.9451,3982.0549
287,0.286,4000.0,-1.3796,3998.6204
288,0.287,4000.0,5.4305,4005.4305
289,0.288,4000.0,2.6026,4002.6026
290,0.289,4000.0,-5.7127,3994.2873
291,0.29,4000.0,-1.898,3998.102
292,0.291,4000.0,-4.5193,3995.4807
293,0.292,4000.0,-5.406,3994.594
294,0.293,4000.0,7.8347,4007.8347
295,0.294,4000.0,3.3022,4003.3022
296,0.295,4000.0,-6.3588,3993.6412
297,0.296,4000.0,8.2948,4008.2948
298,0.297,4000.0,2.8447,4002.8447
299,0.298,4000.0,7.4967,4007.4967
300,0.299,4000.0,5.8106,4005.8106
301,0.3,4000.0,-7.6109,3992.3891
302,0.301,4000.0,-5.1374,3994.8626
303,0.302,4000.0,6.8933,4006.8933
304,0.303,4000.0,5.6334,4005.6334
305,0.304,4000.0,-0.1752,3999.8248
306,0.305,4000.0,1.0967,4001.0967
307,0.306,4000.0,11.7736,4011.7736
308,0.307,4000.0,-5.4263,3994.5737
309,0.308,4000.0,5.0512,4005.0512
310,0.309,4000.0,-1.8434,3998.1566
311,0.31,4000.0,-1.9859,3998.0141
312,0.311,4000.0,10.1275,4010.1275
313,0.312,4000.0,7.6122,4007.6122
314,0.313,4000.0,7.5026,4007.5026
315,0.314,4000.0,12.0295,4012.0295
316,0.315,4000.0,0.2103,4000.2103
317,0.316,4000.0,6.2921,4006.2921
318,0.317,4000.0,-2.8378,3997.1622
319,0.318,4000.0,2.9999,4002.9999
320,0.319,4000.0,-1.1804,3998.8196
321,0.32,4000.0,0.9096,4000.9096
322,0.321,4000.0,5.4934,4005.4934
323,0.322,4000.0,-7.5118,3992.4882
324,0.323,4000.0,19.2702,4019.2702
325,0.324,4000.0,-9.2398,3990.7602
326,0.325,4000.0,-11.1553,3988.8447
327,0.326,4000.0,10.6735,4010.6735
328,0.327,4000.0,7.3016,4007.3016
329,0.328,4000.0,5.7599,4005.7599
330,0.329,4000.0,5.7988,4005.7988
331,0.33,4000.0,-0.0956,3999.9044
332,0.331,4000.0,-8.239,3991.761
333,0.332,4000.0,0.7146,4000.7146
334,0.333,4000.0,-6.2138,3993.7862
335,0.334,4000.0,8.9897,4008.9897
336,0.335,4000.0,-1.3361,3998.6639
337,0.336,4000.0,-7.5788,3992.4212
338,0.337,4000.0,-2.9402,3997.0598
339,0.338,4000.0,3.8167,4003.8167
340,0.339,4000.0,-5.17,3994.83
341,0.34,4000.0,-7.5486,3992.4514
342,0.341,4000.0,2.2594,4002.2594
343,0.342,4000.0,2.2711,4002.2711
344,0.343,4000.0,-4.6476,3995.3524
345,0.344,4000.0,-4.3172,3995.6828
346,0.345,4000.0,2.1523,4002.1523
347,0.346,4000.0,-13.3075,3986.6925
348,0.347,4000.0,-12.9337,3987.0663
349,0.348,4000.0,-6.5937,3993.4063
350,0.349,4000.0,-1.947,3998.053
351,0.35,4000.0,2.8779,4002.8779
352,0.351,4000.0,13.5926,4013.5926
353,0.352,4000.0,7.9089,4007.9089
354,0.353,4000.0,-1.4546,3998.5454
355,0.354,4000.0,-0.1579,3999.8421
356,0.355,4000.0,-9.2077,3990.7923
357,0.356,4000.0,-0.1533,3999.8467
358,0.357,4000.0,-2.639,3997.361
359,0.358,4000.0,2.9866,4002.9866
360,0.359,4000.0,-7.5947,3992.4053
361,0.36,4000.0,4.7959,4004.7959
362,0.361,4000.0,14.1206,4014.1206
363,0.362,4000.0,-0.9837,3999.0163
364,0.363,4000.0,3.7134,4003.7134
365,0.364,4000.0,6.3675,4006.3675
366,0.365,4000.0,-3.6748,3996.3252
367,0.366,4000.0,2.0791,4002.0791
368,0.367,4000.0,0.1329,4000.1329
369,0.368,4000.0,0.9158,4000.9158
370,0.369,4000.0,-7.0958,3992.9042
371,0.37,4000.0,0.2426,4000.2426
372,0.371,4000.0,4.5994,4004.5994
373,0.372,4000.0,13.3698,4013.3698
374,0.373,4000.0,8.8438,4008.8438
375,0.374,4000.0,19.8297,4019.8297
376,0.375,4000.0,-7.0437,3992.9563
377,0.376,4000.0,8.0438,4008.0438
378,0.377,4000.0,1.7041,4001.7041
379,0.378,4000.0,20.1666,4020.1666
380,0.379,4000.0,-7.4205,3992.5795
381,0.38,4000.0,-7.7096,3992.2904
382,0.381,4000.0,-5.4983,3994.5017
383,0.382,4000.0,-19.526,3980.474
384,0.383,4000.0,-4.8207,3995.1793
385,0.384,4000.0,-6.9681,3993.0319
386,0.385,4000.0,1.4009,4001.4009
387,0.386,4000.0,3.1618,4003.1618
388,0.387,4000.0,17.2807,4017.2807
389,0.388,4000.0,8.7624,4008.7624
390,0.389,4000.0,-5.2913,3994.7087
391,0.39,4000.0,-8.2497,3991.7503
392,0.391,4000.0,4.5435,4004.5435
393,0.392,4000.0,-12.1311,3987.8689
394,0.393,4000.0,16.8693,4016.8693
395,0.394,4000.0,10.8697,4010.8697
396,0.395,4000.0,-4.3001,3995.6999
397,0.396,4000.0,-15.7464,3984.2536
398,0.397,4000.0,12.4748,4012.4748
399,0.398,4000.0,-1.0369,3998.9631
400,0.399,4000.0,11.4069,4011.4069
401,0.4,4000.0,-14.6541,3985.3459
402,0.401,4000.0,-5.4981,3994.5019
403,0.402,4000.0,0.0653,4000.0653
404,0.403,4000.0,0.4494,4000.4494
405,0.404,4000.0,-4.1242,3995.8758
406,0.405,4000.0,5.7483,4005.7483
407,0.406,4000.0,-9.8067,3990.1933
408,0.407,4000.0,-1.293,3998.707
409,0.408,4000.0,1.124,4001.124
410,0.409,4000.0,4.7507,4004.7507
411,0.41,4000.0,6.565,4006.565
412,0.411,4000.0,-10.3314,3989.6686
413,0.412,4000.0,-14.0991,3985.9009
414,0.413,4000.0,11.7737,4011.7737
415,0.414,4000.0,3.0749,4003.0749
416,0.415,4000.0,-6.8701,3993.1299
417,0.416,4000.0,14.2901,4014.2901
418,0.417,4000.0,1.0815,4001.0815
419,0.418,4000.0,10.8684,4010.8684
420,0.419,4000.0,0.6384,4000.6384
421,0.42,4000.0,18.9791,4018.9791
422,0.421,4000.0,16.1689,4016.1689
423,0.422,4000.0,-2.2738,3997.7262
424,0.423,4000.0,8.957,4008.957
425,0.424,4000.0,5.9555,4005.9555
426,0.425,4000.0,12.6106,4012.6106
427,0.426,4000.0,-8.8617,3991.1383
428,0.427,4000.0,6.3298,4006.3298
429,0.428,4000.0,9.7562,4009.7562
430,0.429,4000.0,-16.166,3983.834
431,0.43,4000.0,-10.8707,3989.1293
432,0.431,4000.0,-18.747,3981.253
433,0.432,4000.0,-2.4619,3997.5381
434,0.433,4000.0,6.6196,4006.6196
435,0.434,4000.0,13.8411,4013.8411
436,0.435,4000.0,0.6989,4000.6989
437,0.436,4000.0,15.0028,4015.0028
438,0.437,4000.0,-12.682,3987.318
439,0.438,4000.0,-15.6566,3984.3434
440,0.439,4000.0,-0.494,3999.506
441,0.44,4000.0,3.5511,4003.5511
442,0.441,4000.0,-0.2838,3999.7162
443,0.442,4000.0,-19.0066,3980.9934
444,0.443,4000.0,-0.803,3999.197
445,0.444,4000.0,-11.986,3988.014
446,0.445,4000.0,6.1791,4006.1791
447,0.446,4000.0,3.3903,4003.3903
448,0.447,4000.0,-8.6313,3991.3687
449,0.448,4000.0,-4.7113,3995.2887
450,0.449,4000.0,-9.7293,3990.2707
451,0.45,4000.0,-0.5597,3999.4403
452,0.451,4000.0,8.8059,4008.8059
453,0.452,4000.0,-9.0531,3990.9469
454,0.453,4000.0,4.6551,4004.6551
455,0.454,4000.0,-4.8621,3995.1379
456,0.455,4000.0,-7.2786,3992.7214
457,0.456,4000.0,-0.9678,3999.0322
458,0.457,4000.0,-9.5087,3990.4913
459,0.458,4000.0,-5.0773,3994.9227
460,0.459,4000.0,-11.0052,3988.9948
461,0.46,4000.0,18.0956,4018.0956
462,0.461,4000.0,0.3416,4000.3416
463,0.462,4000.0,-6.4215,3993.5785
464,0.463,4000.0,1.986,4001.986
465,0.464,4000.0,-1.0165,3998.9835
466,0.465,4000.0,-2.0162,3997.9838
467,0.466,4000.0,5.6684,4005.6684
468,0.467,4000.0,6.9873,4006.9873
469,0.468,4000.0,-4.8643,3995.1357
470,0.469,4000.0,-5.2813,3994.7187
471,0.47,4000.0,-2.5138,3997.4862
472,0.471,4000.0,-21.1641,3978.8359
473,0.472,4000.0,-13.925,3986.075
474,0.473,4000.0,12.5944,4012.5944
475,0.474,4000.0,15.1533,4015.1533
476,0.475,4000.0,-2.2744,3997.7256
477,0.476,4000.0,5.3223,4005.3223
478,0.477,4000.0,2.8811,4002.8811
479,0.478,4000.0,28.3475,4028.3475
480,0.479,4000.0,10.3189,4010.3189
481,0.48,4000.0,-1.16,3998.84
482,0.481,4000.0,-8.7754,3991.2246
483,0.482,4000.0,-14.7647,3985.2353
484,0.483,4000.0,1.8893,4001.8893
485,0.484,4000.0,-6.9425,3993.0575
486,0.485,4000.0,-13.0698,3986.9302
487,0.486,4000.0,-5.9324,3994.0676
488,0.487,4000.0,-9.9348,3990.0652
489,0.488,4000.0,15.5414,4015.5414
490,0.489,4000.0,8.1295,4008.1295
491,0.49,4000.0,-0.0563,3999.9437
492,0.491,4000.0,13.6348,4013.6348
493,0.492,4000.0,0.729,4000.729
494,0.493,4000.0,-7.9081,3992.0919
495,0.494,4000.0,14.0322,4014.0322
496,0.495,4000.0,4.9759,4004.9759
497,0.496,4000.0,-9.5272,3990.4728
498,0.497,4000.0,-1.7343,3998.2657
499,0.498,4000.0,-8.0399,3991.9601
500,0.499,4000.0,-12.7068,3987.2932
